"user_id","age","male","friend_cnt","avg_friend_age","avg_friend_male","friend_country_cnt","subscriber_friend_cnt","songsListened","lovedTracks","posts","playlists","shouts","delta_friend_cnt","delta_avg_friend_age","delta_avg_friend_male","delta_friend_country_cnt","delta_subscriber_friend_cnt","delta_songsListened","delta_lovedTracks","delta_posts","delta_playlists","delta_shouts","tenure","good_country","delta_good_country","adopter"
10,24,0,20,26.33333333,0.777777778,6,0,37804,4,20,1,47,0,0.222222222,0,0,0,54,0,0,0,0,79,0,0,0
137,22,1,4,21.25,0.75,1,0,774,0,0,0,3,0,1,0,0,0,0,0,0,0,0,60,0,0,0
306,18,0,3,18.5,0.666666667,1,0,14036,1,0,1,10,0,0,0,0,0,0,0,0,0,0,41,1,0,0
336,24,1,131,23.90740741,0.431034483,22,4,3457,227,1,2,247,6,0.315174398,0.012852665,0,2,865,7,0,0,4,79,0,0,0
355,23,1,15,21.55555556,0.461538462,2,1,7506,0,18,1,28,3,0.841269841,-0.038461538,0,0,-4,0,0,0,6,70,0,0,0
382,22,1,13,21.90909091,0.769230769,3,1,2409,12,0,0,3,1,0.090909091,-0.064102564,1,0,630,3,0,0,1,10,0,0,0
415,41,1,17,33.75,0.666666667,3,0,49303,178,2,2,26,0,0.125,0,0,0,717,1,0,0,0,86,1,0,0
425,21,1,71,22.03571429,0.64516129,21,2,68901,37,41,1,292,5,0.153361345,-0.044493882,5,1,2693,0,0,0,0,70,0,0,0
453,33,0,13,31.55555556,0.818181818,1,0,44156,9,0,0,3,0,0.333333333,0,0,0,2460,0,0,0,0,82,0,0,0
458,26,1,1,27,1,1,0,4797,4,0,0,1,0,0,0,0,0,0,0,0,0,0,65,1,0,0
575,23,1,84,24.63333333,0.575342466,15,4,22540,53,23,1,102,5,0.329761905,-0.01037182,0,1,380,0,0,0,0,65,0,0,0
697,25,1,11,26.71428571,0.666666667,6,0,56488,1,37,1,62,0,0.142857143,0,0,0,0,0,0,0,0,77,0,0,0
703,18,0,25,21.47058824,0.65,7,0,25613,214,0,1,13,5,0.756302521,0.025,1,0,4753,23,0,0,4,57,1,0,0
746,22,1,6,20.75,0.75,3,0,34428,1,0,1,9,0,0,0,0,0,1717,0,0,0,0,64,1,0,0
788,23,1,3,20,1,1,0,8220,3,0,1,2,0,1,0,0,0,0,0,0,0,0,51,1,0,0
817,24,1,24,21.76190476,0.652173913,1,0,22540,115,0,1,35,-2,0.283643892,0.052173913,0,0,102,0,0,0,0,60,0,0,0
935,17,1,18,18.21428571,0.933333333,2,0,6221,3,5,1,53,3,-0.24025974,-0.066666667,1,0,790,-1,0,0,1,33,0,0,0
998,32,0,40,32.6,0.696969697,7,4,634,107,0,1,3,0,0.32,0,0,0,0,0,0,0,0,61,0,0,0
1185,20,0,2,21,0,1,0,3018,8,0,0,2,0,0.5,0,0,0,0,0,0,0,0,66,1,0,0
1277,27,1,14,25.5,0.583333333,2,0,1218,6,1,1,8,1,0.5,0,0,0,0,0,0,0,0,61,0,0,0
1286,29,1,17,27.8,0.866666667,7,0,115962,56,2,0,13,1,-0.271428571,0.00952381,1,0,3159,9,0,0,1,83,1,0,0
1336,34,0,9,37,0.875,5,1,13439,34,0,0,6,0,0.142857143,0,0,1,74,0,0,0,0,70,0,0,1
1405,30,1,2,34,0.5,2,0,7985,21,0,0,1,0,0.5,0,0,0,0,0,0,0,0,73,0,0,0
1444,19,0,2,22,0,1,0,13180,2,13,1,18,0,0,0,0,0,0,0,0,0,0,61,0,0,0
1475,19,0,13,20.125,0.416666667,8,0,88,0,0,1,11,0,0.375,0,0,0,0,0,0,0,0,61,0,0,0
1599,27,0,71,25.16981132,0.75,16,1,16633,59,0,1,41,3,0.246734398,-0.024193548,1,1,241,3,0,0,0,54,0,0,0
1604,23,1,12,23.57142857,0.727272727,5,1,42540,74,0,1,3,0,0.142857143,0,0,0,912,0,0,0,0,61,0,0,0
1658,24,1,21,26.8,0.8125,8,0,15957,128,1,1,25,0,0.2,0,0,0,0,0,0,0,0,61,0,0,0
1668,26,0,12,28,0.4,2,0,34564,228,0,2,95,0,0.285714286,0,0,-1,385,0,0,0,0,61,0,0,0
1679,25,0,29,27.95652174,0.875,6,0,31243,46,13,1,71,0,0.229249012,0,0,0,0,0,0,0,0,75,0,0,0
1687,22,0,23,23.70588235,0.5,7,0,34995,1,0,1,1,0,0.588235294,0,0,0,476,0,0,0,0,60,0,0,0
1689,22,0,34,25.21428571,0.866666667,11,0,14855,24,1,1,78,0,0.07635468,-0.033333333,-1,0,178,6,0,0,1,60,0,0,0
1695,25,1,6,23.33333333,0.666666667,2,0,12785,0,17,1,31,0,0,0,0,0,0,0,0,0,0,65,1,0,0
1719,29,0,20,33.71428571,0.875,11,1,18693,24,0,1,38,1,0.252747253,0.008333333,0,-1,276,0,0,0,0,64,0,0,0
1750,22,1,8,23.25,1,1,0,2477,1,0,1,0,0,0.375,0,0,0,0,0,0,0,0,61,1,0,0
1865,29,1,7,24.6,0.833333333,2,1,26901,16,8,0,5,1,-1.65,-0.166666667,0,1,0,0,0,0,0,63,0,0,0
1913,23,1,2,23,1,1,0,36259,0,0,0,3,0,0,0,0,0,0,0,0,0,0,64,1,0,0
1922,28,1,18,22.46666667,0.75,7,1,46582,78,0,0,10,2,0.38974359,0.035714286,0,1,720,0,0,0,0,46,0,0,0
1948,24,0,8,26.2,0.6,3,0,14400,46,0,1,7,0,0.6,0,0,0,0,0,0,0,0,59,1,0,0
1951,28,1,8,25.6,1,1,0,2129,0,1,1,2,0,0.2,0,0,0,0,0,0,0,0,47,0,0,0
1962,21,1,8,19.28571429,0.857142857,2,0,56167,13,5,1,0,0,0.285714286,0,0,0,265,0,0,0,0,56,1,0,0
1973,28,1,5,24.5,0.333333333,1,0,41071,49,1,0,10,-1,0,-0.166666667,0,0,255,0,0,0,0,58,1,0,0
